intent_BF,intent_BL,intent_DC,intent_FT,intent_OT,intent_PF,intent_RF,intent_SC,intent_TS,change_AP,change_BL,change_CF,change_DA,change_DC,change_DP,change_LG,change_OT,change_TS,change_UI,risk_H,risk_L,risk_M,complexity_H,complexity_L,complexity_M,scope_C,scope_F,scope_L,scope_M,test_H,test_L,test_M,test_N,security_H,security_L,security_M,security_N,intent_confidence,intent_margin,change_confidence,change_margin,risk_confidence,risk_margin,complexity_confidence,complexity_margin,scope_confidence,scope_margin,test_confidence,test_margin,security_confidence,security_margin,buggy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,99.2923,98.7019,99.8745,99.7501,96.8833,94.6048,97.2097,94.6191,97.7027,96.7144,66.9196,51.9879,92.9986,86.67,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,85.938,77.9445,99.7501,99.5029,91.95,84.8596,99.0751,98.2699,87.8026,79.887,86.0215,77.5042,97.0106,94.582,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,31.307482719421387,16.51887446641922,73.99072051048279,59.42108631134033,89.29910659790039,79.280024766922,95.45585513114928,91.51592254638672,97.1291184425354,95.35013437271118,83.93692970275879,76.60260200500488,76.0665774345398,55.59353828430176,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.33532285690308,66.63037538528442,62.34157085418701,45.562565326690674,62.07782626152039,24.425718188285828,53.036701679229736,6.231978535652161,98.92811179161072,98.3019232749939,58.70462656021118,18.357565999031067,71.31645679473877,48.16339612007141,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.71292769908905,23.552727699279785,82.92585015296936,73.6218273639679,97.2599983215332,95.7831859588623,97.58719801902772,95.36277651786804,91.54489040374756,86.38027906417847,86.82250380516052,81.6084086894989,48.967245221138,5.753803253173828,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.44808387756348,2.990229427814484,62.77236342430115,42.39315986633301,95.87427377700806,91.91706776618958,97.80094623565674,95.64024209976196,96.57281041145325,95.19527554512024,87.92622685432434,82.64584541320801,58.92484188079834,27.384647727012634,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,49.16102886199951,25.939002633094788,86.61361336708069,80.33934235572815,93.81310939788818,90.28749465942384,97.06328511238098,94.47663426399232,97.08031415939332,95.4613447189331,69.1651463508606,56.37087821960449,96.30956053733826,93.0140256881714,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31.00936114788056,1.4200210571289062,40.10663628578186,17.25456416606903,61.19939684867859,30.42640686035156,62.36420273780823,30.01008033752441,98.48592877388,97.82233834266664,44.81634199619293,9.913340210914612,49.70825612545013,26.227736473083496,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,94.8353946208954,93.09842586517334,72.90418148040771,49.23565983772278,53.03928852081299,6.232279539108276,69.19214725494385,38.488319516181946,96.56842947006226,93.742036819458,64.10099864006042,31.8689912557602,81.05586767196655,68.62554550170898,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,33.41875672340393,8.969072997570038,62.83268332481384,34.950849413871765,81.75927400588989,71.36474847793579,50.732409954071045,16.937336325645447,43.05107891559601,15.686148405075071,55.20424842834473,32.1916937828064,76.5959084033966,67.447829246521,0
