rank,dimension_a,dimension_b,correlation,abs_correlation
1,15,91,-0.3530039244316079,0.3530039244316079
2,152,314,0.32358146006954874,0.32358146006954874
3,38,91,0.3232401852066149,0.3232401852066149
4,38,65,0.31711793309798,0.31711793309798
5,53,126,-0.3146188002120535,0.3146188002120535
6,15,152,0.31021771251249486,0.31021771251249486
7,0,361,-0.31009785994712485,0.31009785994712485
8,40,91,-0.30958933430307284,0.30958933430307284
9,38,90,-0.30894591718965786,0.30894591718965786
10,15,119,-0.30867865733249006,0.30867865733249006
