rank,dimension,variance,variance_share,cumulative_share
1,588,0.180757816124063,0.04372089170789688,0.04372089170789688
2,77,0.02684868910247755,0.006494040777427526,0.0502149324853244
3,551,0.02103013615879513,0.005086675228306256,0.05530160771363066
4,586,0.015734446148052656,0.0038057774256942184,0.059107385139324876
5,26,0.014964313849351958,0.0036195012714772584,0.06272688641080214
6,684,0.014501186345312295,0.003507482063205959,0.0662343684740081
7,453,0.014098974145177266,0.003410196776058934,0.06964456525006703
8,211,0.01380229532583302,0.0033384374308161597,0.07298300268088319
9,259,0.013652884988399026,0.003302298726979926,0.07628530140786312
10,444,0.012909614006015889,0.0031225196677546734,0.0794078210756178
