split,category,item,count,proportion,full_proportion,difference,train,validation,test,date_min,date_max,small_project,boundary_equal_timestamp
overall,language,cpp,12000,0.20001333422228149,0.20001333422228149,0.0,,,,,,,
overall,language,java,36000,0.6000400026668444,0.6000400026668444,0.0,,,,,,,
overall,language,python,11996,0.19994666311087406,0.19994666311087406,0.0,,,,,,,
overall,buggy,0,44626,0.7438162544169611,0.7438162544169611,0.0,,,,,,,
overall,buggy,1,15370,0.25618374558303886,0.25618374558303886,0.0,,,,,,,
overall,language_buggy,cpp|buggy=0,7994,0.13324221614774318,0.13324221614774318,0.0,,,,,,,
overall,language_buggy,cpp|buggy=1,4006,0.0667711180745383,0.0667711180745383,0.0,,,,,,,
overall,language_buggy,java|buggy=0,28776,0.479631975465031,0.479631975465031,0.0,,,,,,,
overall,language_buggy,java|buggy=1,7224,0.12040802720181346,0.12040802720181346,0.0,,,,,,,
overall,language_buggy,python|buggy=0,7856,0.13094206280418694,0.13094206280418694,0.0,,,,,,,
overall,language_buggy,python|buggy=1,4140,0.0690046003066871,0.0690046003066871,0.0,,,,,,,
overall,project,apache/activemq,460,0.007667177811854124,0.007667177811854124,0.0,,,,,,,
overall,project,apache/camel,7521,0.12535835722381491,0.12535835722381491,0.0,,,,,,,
overall,project,apache/cassandra,891,0.0148509900660044,0.0148509900660044,0.0,,,,,,,
overall,project,apache/flink,6109,0.10182345489699313,0.10182345489699313,0.0,,,,,,,
overall,project,apache/groovy,1486,0.02476831788785919,0.02476831788785919,0.0,,,,,,,
overall,project,apache/hadoop,6333,0.10555703713580905,0.10555703713580905,0.0,,,,,,,
overall,project,apache/hbase,2712,0.045203013534235614,0.045203013534235614,0.0,,,,,,,
overall,project,apache/hive,2621,0.04368624574971665,0.04368624574971665,0.0,,,,,,,
overall,project,apache/ignite,4279,0.07132142142809521,0.07132142142809521,0.0,,,,,,,
overall,project,apache/kafka,1885,0.03141876125075005,0.03141876125075005,0.0,,,,,,,
overall,project,apache/spark,668,0.011134075605040336,0.011134075605040336,0.0,,,,,,,
overall,project,apache/zeppelin,758,0.012634175611707448,0.012634175611707448,0.0,,,,,,,
overall,project,apache/zookeeper,277,0.004616974464964331,0.004616974464964331,0.0,,,,,,,
overall,project,cpp/godot,2313,0.03855257017134476,0.03855257017134476,0.0,,,,,,,
overall,project,cpp/krita,7073,0.11789119274618308,0.11789119274618308,0.0,,,,,,,
overall,project,cpp/opencv,2614,0.04356957130475365,0.04356957130475365,0.0,,,,,,,
overall,project,python/cpython,5505,0.09175611707447164,0.09175611707447164,0.0,,,,,,,
overall,project,python/django,5510,0.09183945596373091,0.09183945596373091,0.0,,,,,,,
overall,project,python/flask,981,0.01635109007267151,0.01635109007267151,0.0,,,,,,,
train,language,cpp,8400,0.20000952426306015,0.20001333422228149,-3.8099592213347577e-06,,,,,,,
train,language,java,25201,0.6000523834468308,0.6000400026668444,1.2380779986331802e-05,,,,,,,
train,language,python,8397,0.19993809229010906,0.19994666311087406,-8.570820764997045e-06,,,,,,,
train,buggy,0,30086,0.7163674460688604,0.7438162544169611,-0.027448808348100706,,,,,,,
train,buggy,1,11912,0.28363255393113956,0.25618374558303886,0.027448808348100706,,,,,,,
train,language_buggy,cpp|buggy=0,5249,0.12498214200676222,0.13324221614774318,-0.008260074140980955,,,,,,,
train,language_buggy,cpp|buggy=1,3151,0.07502738225629792,0.0667711180745383,0.00825626418175962,,,,,,,
train,language_buggy,java|buggy=0,19492,0.464117338920901,0.479631975465031,-0.01551463654412999,,,,,,,
train,language_buggy,java|buggy=1,5709,0.1359350445259298,0.12040802720181346,0.015527017324116349,,,,,,,
train,language_buggy,python|buggy=0,5345,0.1272679651411972,0.13094206280418694,-0.0036740976629897337,,,,,,,
train,language_buggy,python|buggy=1,3052,0.07267012714891186,0.0690046003066871,0.0036655268422247506,,,,,,,
train,project,apache/activemq,322,0.007667031763417305,0.007667177811854124,-1.4604843681827184e-07,,,,,,,
train,project,apache/camel,5265,0.12536311252916807,0.12535835722381491,4.755305353154604e-06,,,,,,,
train,project,apache/cassandra,624,0.014857850373827326,0.0148509900660044,6.860307822926029e-06,,,,,,,
train,project,apache/flink,4276,0.10181437211295775,0.10182345489699313,-9.082784035371883e-06,,,,,,,
train,project,apache/groovy,1040,0.024763083956378874,0.02476831788785919,-5.233931480316811e-06,,,,,,,
train,project,apache/hadoop,4433,0.10555264536406496,0.10555703713580905,-4.391771744091666e-06,,,,,,,
train,project,apache/hbase,1898,0.04519262822039145,0.045203013534235614,-1.0385313844167576e-05,,,,,,,
train,project,apache/hive,1835,0.0436925567884185,0.04368624574971665,6.311038701849181e-06,,,,,,,
train,project,apache/ignite,2995,0.07131291966284109,0.07132142142809521,-8.501765254118054e-06,,,,,,,
train,project,apache/kafka,1320,0.03143006809848088,0.03141876125075005,1.130684773083257e-05,,,,,,,
train,project,apache/spark,468,0.011143387780370493,0.011134075605040336,9.312175330157546e-06,,,,,,,
train,project,apache/zeppelin,531,0.012643459212343444,0.012634175611707448,9.283600635996356e-06,,,,,,,
