split,category,item,count,proportion,full_proportion,difference,train,validation,test,date_min,date_max,small_project,boundary_equal_timestamp
overall,language,java,32,1.0,1.0,0.0,,,,,,,
overall,buggy,0,30,0.9375,0.9375,0.0,,,,,,,
overall,buggy,1,2,0.0625,0.0625,0.0,,,,,,,
overall,language_buggy,java|buggy=0,30,0.9375,0.9375,0.0,,,,,,,
overall,language_buggy,java|buggy=1,2,0.0625,0.0625,0.0,,,,,,,
overall,project,apache/groovy,32,1.0,1.0,0.0,,,,,,,
train,language,java,22,1.0,1.0,0.0,,,,,,,
train,buggy,0,21,0.9545454545454546,0.9375,0.017045454545454586,,,,,,,
train,buggy,1,1,0.045454545454545456,0.0625,-0.017045454545454544,,,,,,,
train,language_buggy,java|buggy=0,21,0.9545454545454546,0.9375,0.017045454545454586,,,,,,,
train,language_buggy,java|buggy=1,1,0.045454545454545456,0.0625,-0.017045454545454544,,,,,,,
train,project,apache/groovy,22,1.0,1.0,0.0,,,,,,,
validation,language,java,5,1.0,1.0,0.0,,,,,,,
validation,buggy,0,5,1.0,0.9375,0.0625,,,,,,,
validation,buggy,1,0,0.0,0.0625,-0.0625,,,,,,,
validation,language_buggy,java|buggy=0,5,1.0,0.9375,0.0625,,,,,,,
validation,language_buggy,java|buggy=1,0,0.0,0.0625,-0.0625,,,,,,,
validation,project,apache/groovy,5,1.0,1.0,0.0,,,,,,,
test,language,java,5,1.0,1.0,0.0,,,,,,,
test,buggy,0,4,0.8,0.9375,-0.13749999999999996,,,,,,,
test,buggy,1,1,0.2,0.0625,0.1375,,,,,,,
test,language_buggy,java|buggy=0,4,0.8,0.9375,-0.13749999999999996,,,,,,,
test,language_buggy,java|buggy=1,1,0.2,0.0625,0.1375,,,,,,,
test,project,apache/groovy,5,1.0,1.0,0.0,,,,,,,
project_summary,project_split,apache/groovy,32,,,,22.0,5.0,5.0,2003-09-11T14:54:46+00:00,2003-12-30T16:27:54+00:00,False,False
