feature,importance
complexity_M,0.1054908
complexity_confidence,0.0536335
scope_M,0.04624042
security_N,0.042101152
change_OT,0.03949413
complexity_margin,0.038161278
change_LG,0.025465386
scope_margin,0.02208581
intent_SC,0.020398745
test_N,0.020115256
intent_BF,0.018865202
change_DC,0.018229468
scope_confidence,0.017580278
security_margin,0.01715889
intent_RF,0.016650857
security_confidence,0.016102899
risk_margin,0.01597147
security_H,0.015623
change_UI,0.015459104
change_margin,0.0152436085
change_confidence,0.014993304
test_confidence,0.014782033
risk_confidence,0.014760366
intent_margin,0.014715916
test_margin,0.014696117
intent_TS,0.014635334
test_M,0.014589143
intent_PF,0.014456659
intent_FT,0.014442843
intent_BL,0.014395577
intent_confidence,0.01435658
test_L,0.014323225
risk_L,0.014017608
change_DA,0.013925186
change_TS,0.013924841
change_AP,0.013903465
intent_OT,0.013556567
test_H,0.013446496
scope_F,0.013248161
intent_DC,0.013240851
risk_H,0.013137605
complexity_L,0.012869102
risk_M,0.012743003
complexity_H,0.012674498
security_M,0.012173874
change_BL,0.012166959
change_DP,0.012112353
security_L,0.012091153
scope_C,0.012067293
scope_L,0.011932306
change_CF,0.011550312
