feature,importance
la,0.024419585
arexp,0.011461706
nd,0.010743063
pca_77,0.007936218
pca_102,0.00584637
pca_209,0.0057222084
pca_220,0.0056714183
nuc,0.0053545865
ld,0.0049708057
pca_171,0.004778839
pca_272,0.0047404696
age,0.004714712
pca_83,0.0045865676
pca_127,0.004559927
pca_53,0.004513064
ndev,0.0045111086
aexp,0.0044604572
pca_325,0.00442636
pca_333,0.0044131335
pca_15,0.004404778
pca_192,0.004346736
pca_114,0.004271597
pca_340,0.00426001
pca_29,0.004234053
pca_236,0.004223837
pca_19,0.004207238
pca_38,0.0041820877
pca_235,0.0041812262
pca_120,0.0041485406
pca_350,0.004110407
pca_291,0.004089864
pca_25,0.004061727
pca_277,0.0040460103
pca_349,0.0040041273
pca_74,0.003887335
pca_279,0.0038680816
pca_282,0.0038445117
pca_191,0.0038235208
pca_32,0.0038229465
pca_323,0.0037998375
pca_368,0.0037818404
pca_37,0.0037750779
pca_88,0.0037734462
pca_203,0.003772863
asexp,0.003768914
pca_231,0.003741603
pca_97,0.0037352128
pca_143,0.0037300158
pca_265,0.00366239
pca_345,0.0036342044
pca_18,0.0036060563
pca_359,0.003602674
pca_128,0.0035953538
pca_78,0.003577406
pca_316,0.0034998942
pca_266,0.003499605
pca_268,0.0034559164
pca_10,0.003448346
pca_342,0.0034041624
pca_4,0.0033907085
pca_263,0.0033719388
pca_55,0.0033641963
pca_242,0.0032989476
pca_51,0.0032842548
pca_39,0.003281673
pca_57,0.0032815696
pca_103,0.0032735183
pca_31,0.0032412405
pca_287,0.0031826862
pca_358,0.003180694
pca_100,0.0031640877
pca_315,0.0031572853
pca_21,0.0031294648
pca_148,0.0031291186
pca_162,0.0031144528
pca_311,0.003109374
pca_67,0.0030947104
pca_126,0.0030777163
pca_125,0.0030583707
pca_214,0.0030505315
pca_149,0.0030235683
pca_76,0.0030145387
pca_99,0.0030144476
pca_309,0.0030005947
pca_298,0.0029794946
pca_133,0.0029660305
pca_375,0.002964613
pca_371,0.0029565708
pca_305,0.0029408426
pca_86,0.0029370105
pca_208,0.002932537
pca_280,0.0029185426
pca_23,0.0029171098
pca_380,0.002915807
pca_93,0.00290535
pca_341,0.0028869049
pca_30,0.0028812168
pca_92,0.002838679
pca_330,0.0028330497
pca_113,0.0028275223
pca_129,0.0028141888
pca_206,0.002788377
pca_354,0.0027801162
pca_310,0.0027790198
pca_197,0.0027788582
pca_45,0.0027651435
pca_233,0.0027435569
pca_357,0.00274167
pca_174,0.0027347503
pca_58,0.0027260329
pca_237,0.0027244661
pca_261,0.0027197304
pca_376,0.0027190167
pca_134,0.0027180365
pca_167,0.0027106672
pca_82,0.0026921027
pca_138,0.002685734
pca_321,0.0026853022
pca_198,0.0026816113
pca_70,0.0026801175
pca_269,0.002671491
pca_299,0.0026643258
pca_200,0.0026475254
pca_164,0.0026411368
pca_276,0.0026360748
pca_107,0.002628924
pca_54,0.0026151522
pca_212,0.0026044762
pca_283,0.0026033148
pca_335,0.002576314
pca_308,0.0025707593
pca_248,0.0025687737
pca_219,0.0025667183
pca_130,0.0025602526
pca_194,0.002558071
pca_110,0.0025573513
pca_369,0.0025540325
pca_160,0.002540147
pca_28,0.0025397793
pca_271,0.0025293934
pca_339,0.002527645
pca_250,0.0025276148
pca_300,0.0025215566
pca_319,0.002517681
pca_193,0.0025141316
pca_372,0.0025100862
pca_229,0.0025066768
pca_353,0.002504553
pca_65,0.0025041155
pca_90,0.002491883
pca_159,0.0024818566
pca_246,0.0024798543
pca_254,0.0024727124
pca_122,0.002468487
pca_44,0.0024657801
pca_257,0.0024650462
pca_96,0.002464402
pca_184,0.0024615417
pca_355,0.0024526943
pca_215,0.0024415636
pca_150,0.0024358185
pca_253,0.0024289647
pca_181,0.0024259011
pca_241,0.0024231316
pca_190,0.0024208042
pca_36,0.002417775
pca_95,0.0024098656
pca_336,0.0024047757
pca_227,0.0023914198
pca_112,0.0023831395
pca_284,0.002363148
pca_94,0.0023626804
pca_313,0.0023616457
pca_295,0.0023610445
pca_317,0.0023568165
pca_72,0.0023413477
pca_307,0.002337722
pca_301,0.0023251951
pca_43,0.0023248813
pca_228,0.002318842
pca_256,0.0023153713
pca_213,0.0023152267
pca_135,0.0023023556
pca_302,0.0022970985
pca_285,0.0022870612
pca_11,0.002279142
pca_186,0.0022776844
pca_5,0.0022755333
pca_117,0.0022749908
pca_326,0.0022717118
pca_185,0.0022647693
pca_158,0.0022634189
pca_80,0.0022592365
pca_59,0.0022565613
pca_27,0.0022557403
pca_232,0.002255631
pca_322,0.0022555708
pca_207,0.0022482506
pca_239,0.0022466385
pca_225,0.002246393
pca_258,0.0022406254
pca_240,0.0022360163
pca_324,0.0022356485
pca_183,0.0022346708
pca_363,0.0022325548
pca_249,0.0022210008
pca_338,0.0022209997
pca_161,0.0022203957
pca_64,0.0022176113
pca_275,0.002205855
pca_108,0.002205063
pca_146,0.002196728
pca_14,0.0021936272
pca_356,0.0021844998
pca_281,0.0021809533
pca_98,0.0021780408
pca_168,0.0021700137
pca_195,0.0021689232
pca_270,0.0021675397
pca_81,0.0021658367
pca_332,0.0021647087
pca_155,0.0021547482
pca_180,0.0021526965
pca_71,0.0021507612
pca_173,0.0021392498
pca_314,0.0021356612
pca_147,0.0021317909
pca_293,0.0021246371
pca_278,0.0021188702
pca_260,0.0021172038
pca_274,0.0020993317
pca_7,0.002093699
pca_91,0.002093667
pca_123,0.002091723
pca_132,0.0020869868
pca_373,0.0020868953
pca_121,0.002085092
pca_131,0.0020840196
pca_66,0.0020781453
pca_42,0.002069617
pca_79,0.002066028
pca_286,0.0020655524
pca_179,0.0020596096
pca_140,0.0020513602
