rank,feature,feature_type,mi_score
1,la,JIT,0.06325080150690887
2,age,JIT,0.036892868782014254
3,nf,JIT,0.03226672797423169
4,ent,JIT,0.032037718995054254
5,nd,JIT,0.030464389551090543
6,ld,JIT,0.029253273175765093
7,asexp,JIT,0.02577523624639322
8,ns,JIT,0.024840921306606534
9,ndev,JIT,0.020565351868877535
10,arexp,JIT,0.018917244302450786
11,nuc,JIT,0.017633300773193028
12,pca_1,CodeBERT_PCA,0.015900536140030175
13,pca_4,CodeBERT_PCA,0.015170401184589677
14,aexp,JIT,0.012526592810288673
15,pca_9,CodeBERT_PCA,0.009270862461934648
16,pca_16,CodeBERT_PCA,0.00703467783345757
17,pca_26,CodeBERT_PCA,0.006327545352522224
18,pca_3,CodeBERT_PCA,0.006176637836286636
19,pca_46,CodeBERT_PCA,0.005722726150657387
20,pca_177,CodeBERT_PCA,0.005450052945731532
21,pca_241,CodeBERT_PCA,0.00541019605766202
22,pca_109,CodeBERT_PCA,0.0053053191549830014
23,pca_142,CodeBERT_PCA,0.005144163498491672
24,pca_254,CodeBERT_PCA,0.005141966289838207
25,pca_27,CodeBERT_PCA,0.004959804830828585
