,median
la,24.0
ld,6.0
nf,2.0
nd,1.0
ns,1.0
ent,0.884963636383153
ndev,3.75
age,55.5
nuc,14.5
aexp,148.0
arexp,67.0
asexp,36.0
intent_BF,0.0
intent_BL,0.0
intent_DC,0.0
intent_FT,0.0
intent_OT,0.0
intent_PF,0.0
intent_RF,0.0
intent_SC,0.0
intent_TS,0.0
change_AP,0.0
change_BL,0.0
change_CF,0.0
change_DA,0.0
change_DC,0.0
change_DP,0.0
change_LG,0.0
change_OT,0.0
change_TS,0.0
change_UI,0.0
risk_H,0.0
risk_L,0.0
risk_M,1.0
complexity_H,0.0
complexity_L,0.0
complexity_M,1.0
scope_C,0.0
scope_F,0.0
scope_L,0.0
scope_M,1.0
test_H,0.0
test_L,0.0
test_M,1.0
test_N,0.0
security_H,0.0
security_L,0.0
security_M,0.0
security_N,0.0
intent_confidence,60.061126947402954
intent_margin,40.8575564622879
change_confidence,66.87189936637878
change_margin,44.783276319503784
risk_confidence,78.7653237581253
risk_margin,60.73887348175049
complexity_confidence,90.7282918691635
complexity_margin,81.89414739608765
scope_confidence,95.05095481872559
scope_margin,91.62364304065704
test_confidence,71.07002139091492
test_margin,52.5499701499939
security_confidence,71.9367653131485
security_margin,52.79393196105957
