feature,mi_score,original_index,rank
jit_la,0.06283294503728798,0,1
complexity_confidence,0.03755738564357669,436,2
complexity_margin,0.03682832188949181,443,3
jit_age,0.03558247882985954,7,4
jit_nf,0.032103380658686564,2,5
jit_ent,0.03168111070448898,5,6
jit_ld,0.027183456410656337,1,7
complexity_M,0.026210361626582523,420,8
scope_margin,0.02585184267875751,444,9
risk_margin,0.025830455582216416,442,10
risk_confidence,0.025790799385646546,435,11
scope_M,0.02508540229873768,424,12
jit_nd,0.0247953409410262,4,13
scope_confidence,0.024572980655567456,437,14
jit_asexp,0.024121377732767346,11,15
jit_ns,0.023408406240058133,3,16
jit_arexp,0.021144392252377964,10,17
risk_M,0.02011107103997345,417,18
jit_ndev,0.0198950455547382,6,19
jit_nuc,0.018547999129987502,8,20
test_M,0.018344337472490535,427,21
test_confidence,0.01662689511440374,438,22
security_margin,0.01621355455639728,446,23
codebert_pca_1,0.016002873583646382,12,24
security_confidence,0.01524943256402933,439,25
