feature,mutual_information,mi_rank,selected_rank
complexity_margin,0.03634165400376976,1,1
scope_M,0.02913909480600907,3,2
risk_confidence,0.02686148228733698,4,3
scope_margin,0.02604671691872751,5,4
complexity_M,0.023386499191711874,8,5
test_M,0.01842603326592429,9,6
test_confidence,0.01666053660900202,10,7
security_margin,0.016375092747103137,11,8
security_N,0.015000926524365354,13,9
change_confidence,0.013554837846395884,14,10
risk_M,0.013119489356894665,15,11
change_OT,0.013085564139125205,16,12
complexity_L,0.012739446875172256,17,13
test_L,0.012056351165349088,18,14
