feature,mutual_information,mi_rank
complexity_margin,0.03634165400376976,1
complexity_confidence,0.03633188673180676,2
scope_M,0.02913909480600907,3
risk_confidence,0.02686148228733698,4
scope_margin,0.02604671691872751,5
scope_confidence,0.024382163786909272,6
risk_margin,0.02373359157904975,7
complexity_M,0.023386499191711874,8
test_M,0.01842603326592429,9
test_confidence,0.01666053660900202,10
security_margin,0.016375092747103137,11
security_confidence,0.015359263392614286,12
security_N,0.015000926524365354,13
change_confidence,0.013554837846395884,14
risk_M,0.013119489356894665,15
change_OT,0.013085564139125205,16
complexity_L,0.012739446875172256,17
test_L,0.012056351165349088,18
test_margin,0.01098591125841164,19
intent_BF,0.010653316618072006,20
change_margin,0.008772679457565324,21
intent_SC,0.007660218342950165,22
intent_confidence,0.00754311588977008,23
security_L,0.007415357794269051,24
intent_margin,0.007300909625678642,25
security_H,0.0070551422747537895,26
complexity_H,0.007053712563063197,27
scope_L,0.005906323325619578,28
risk_L,0.005786363669566086,29
change_UI,0.005304377715423136,30
scope_F,0.004727374784952332,31
change_DP,0.004702040569119825,32
intent_RF,0.0038913221544363275,33
test_H,0.003390743424710241,34
intent_TS,0.0033192853190888716,35
risk_H,0.0031854584164789923,36
scope_C,0.003099888446283172,37
change_CF,0.0028195786970686143,38
change_AP,0.002802681461104184,39
test_N,0.0025748314428157837,40
change_DA,0.002343256920106729,41
change_BL,0.0017516801893819878,42
intent_FT,0.0013211619094219973,43
security_M,0.001087342129873825,44
change_LG,0.0010447113050273682,45
intent_BL,0.000763820402734039,46
change_TS,0.0,47
intent_DC,0.0,48
change_DC,0.0,49
intent_PF,0.0,50
intent_OT,0.0,51
