variant,model,split,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp
A_all51,random_forest,validation,0.7631695932429429,0.48924967090829313,0.5355427473583093,0.5113506076587938,0.3561149765743718,0.7802694013353046,0.5000820276368442,5752,1164,967,1115
A_all51,random_forest,test,0.7633333333333333,0.3402542372881356,0.5835755813953488,0.42987152034261245,0.3103866870502783,0.7735773868170283,0.3592839751452713,6067,1557,573,803
A_all51,xgboost,validation,0.7489442098244055,0.4719314938154139,0.7146974063400576,0.5684813753581662,0.4189356703963072,0.8208239508102999,0.5689536223783118,5251,1665,594,1488
A_all51,xgboost,test,0.7137777777777777,0.31762917933130697,0.7594476744186046,0.4479211315902272,0.34747340562688483,0.8019114020290881,0.39846853567799867,5379,2245,331,1045
A_all51,lightgbm,validation,0.7400533451878195,0.4619709973364901,0.7497598463016331,0.5716901666361472,0.42401001161851215,0.8204452469013367,0.5694904983638819,5098,1818,521,1561
A_all51,lightgbm,test,0.7022222222222222,0.3117782909930716,0.7848837209302325,0.4462809917355372,0.34924297609393784,0.8028040086080676,0.3984183951680066,5240,2384,296,1080
B_conf_margin14,random_forest,validation,0.769059791064681,0.5009082652134423,0.5297790585975024,0.5149393090569561,0.3637950327238944,0.7837290244009492,0.5007032311509305,5817,1099,979,1103
B_conf_margin14,random_forest,test,0.7632222222222222,0.3372143165157395,0.5683139534883721,0.4232746955345061,0.3017565718625796,0.7708094866425487,0.35574551382715636,6087,1537,594,782
B_conf_margin14,xgboost,validation,0.7528339631029117,0.47712628865979384,0.7113352545629202,0.5711531045121481,0.42287547034180517,0.823999702203858,0.5804982621996048,5293,1623,601,1481
B_conf_margin14,xgboost,test,0.7187777777777777,0.32247156470949895,0.7623546511627907,0.4532296392309354,0.3545232854845038,0.8008778600777228,0.3943670424500547,5420,2204,327,1049
B_conf_margin14,lightgbm,validation,0.741942653923094,0.46407185628742514,0.74447646493756,0.5717447436370343,0.4239281056725906,0.8219951341443835,0.5714289312315468,5126,1790,532,1550
B_conf_margin14,lightgbm,test,0.702,0.310614849187935,0.778343023255814,0.44402985074626866,0.3453853630069562,0.8038537078442617,0.4000091897146672,5247,2377,305,1071
C_reduced_no_security,random_forest,validation,0.7633918648588576,0.489787049109083,0.5413064361191162,0.514259639516313,0.35916388749174316,0.7811377534947987,0.5008660238823675,5742,1174,955,1127
C_reduced_no_security,random_forest,test,0.7594444444444445,0.3348681456676434,0.5813953488372093,0.4249667994687915,0.30397525535628617,0.7743493142066668,0.3637639416350973,6035,1589,576,800
C_reduced_no_security,xgboost,validation,0.7518337408312958,0.47585545251039335,0.7146974063400576,0.5713188711844884,0.42307060450709344,0.8232904223538228,0.5750525466474546,5277,1639,594,1488
C_reduced_no_security,xgboost,test,0.7161111111111111,0.3191162933415158,0.7558139534883721,0.4487594390507012,0.34801092604815015,0.8044797907159765,0.4045485083173094,5405,2219,336,1040
C_reduced_no_security,lightgbm,validation,0.7428317403867526,0.46516516516516515,0.7439961575408262,0.5724316334072431,0.424906575021894,0.8205437946451142,0.5669690297649569,5135,1781,533,1549
C_reduced_no_security,lightgbm,test,0.7043333333333334,0.3136060342326661,0.7856104651162791,0.4482687124196558,0.35185268015891663,0.8026382415383488,0.3980465698110911,5258,2366,295,1081
