feature_1,feature_2,cramers_v
risk,security,0.7395679699557562
complexity,scope,0.3885570052285306
change,complexity,0.3771669509767159
change,scope,0.36158164515280516
risk,test,0.34906376324538746
complexity,test,0.3478073236727417
risk,complexity,0.34595437129553724
complexity,security,0.34528492180339226
risk,scope,0.3429966532401547
scope,test,0.3157869040527731
change,risk,0.3156738801042914
change,test,0.29895560809105926
scope,security,0.2759779463284697
change,security,0.2748468600570549
intent,complexity,0.27268024102781313
test,security,0.2674717282603535
intent,scope,0.25675575935775935
intent,change,0.25332349661454384
intent,risk,0.23659269193398344
intent,security,0.2162329978922009
intent,test,0.21597565344813405
