split,feature,category,count,percentage
train,intent,BF,17021,40.52812038668508
train,intent,SC,6448,15.353112052954902
train,intent,TS,4020,9.57188437544645
train,intent,FT,3367,8.017048430877662
train,intent,OT,2739,6.521739130434782
train,intent,BL,2486,5.919329491880566
train,intent,RF,2448,5.828848992809181
train,intent,DC,2298,5.4716891280537165
train,intent,PF,1171,2.78822801085766
train,change,LG,13333,31.746749845230724
train,change,OT,12960,30.858612314872136
train,change,TS,3457,8.23134434973094
train,change,UI,3127,7.445592647268918
train,change,AP,2576,6.133625410733845
train,change,CF,2257,5.374065431687224
train,change,DC,1816,4.324015429306157
train,change,DA,1025,2.440592409162341
train,change,BL,881,2.097718938997095
train,change,DP,566,1.3476832230106195
train,risk,M,31578,75.18929472832039
train,risk,L,5809,13.831611029096624
train,risk,H,4611,10.97909424258298
train,complexity,M,33833,80.55859802847755
train,complexity,L,5447,12.969665222153436
train,complexity,H,2718,6.471736749369017
train,scope,M,31710,75.5035954093052
train,scope,L,3974,9.462355350254773
train,scope,C,3428,8.162293442544883
train,scope,F,2886,6.871755797895138
train,test,M,30833,73.41540073336826
train,test,L,4656,11.08624220200962
train,test,N,3413,8.126577456069336
train,test,H,3096,7.371779608552788
train,security,M,18551,44.171151007190815
train,security,N,16451,39.17091290061431
train,security,L,4566,10.87194628315634
train,security,H,2430,5.785989809038526
validation,intent,BF,3819,42.442765058901976
validation,intent,SC,1375,15.28117359413203
validation,intent,TS,771,8.568570793509668
validation,intent,FT,687,7.635030006668148
validation,intent,RF,596,6.623694154256501
validation,intent,BL,509,5.656812625027784
validation,intent,OT,500,5.556790397866193
validation,intent,DC,495,5.50122249388753
validation,intent,PF,246,2.7339408757501666
validation,change,LG,2935,32.61835963547455
validation,change,OT,2702,30.028895310068904
validation,change,TS,685,7.612802845076684
validation,change,UI,646,7.179373194043121
validation,change,AP,536,5.956879306512558
validation,change,CF,491,5.456768170704601
validation,change,DC,411,4.5676817070460105
validation,change,DA,267,2.967326072460547
validation,change,BL,194,2.1560346743720826
validation,change,DP,131,1.4558790842409424
validation,risk,M,6806,75.63903089575462
validation,risk,L,1229,13.658590797955101
validation,risk,H,963,10.702378306290287
validation,complexity,M,7275,80.8513002889531
validation,complexity,L,1125,12.502778395198932
validation,complexity,H,598,6.645921315847966
validation,scope,M,6782,75.37230495665703
validation,scope,L,838,9.313180706823738
validation,scope,C,756,8.401867081573682
validation,scope,F,622,6.9126472549455436
validation,test,M,6566,72.97177150477884
validation,test,L,914,10.1578128472994
validation,test,N,813,9.03534118693043
validation,test,H,705,7.835074460991331
validation,security,M,3967,44.08757501667037
validation,security,N,3545,39.3976439208713
validation,security,L,936,10.402311624805513
validation,security,H,550,6.112469437652812
test,intent,BF,3720,41.333333333333336
test,intent,SC,1468,16.31111111111111
test,intent,TS,797,8.855555555555556
test,intent,FT,625,6.944444444444445
test,intent,RF,610,6.777777777777778
test,intent,OT,534,5.933333333333334
test,intent,BL,523,5.811111111111111
test,intent,DC,476,5.288888888888889
test,intent,PF,247,2.7444444444444445
test,change,LG,2950,32.77777777777778
test,change,OT,2683,29.81111111111111
test,change,UI,691,7.677777777777778
test,change,TS,676,7.511111111111111
test,change,AP,546,6.066666666666666
test,change,CF,510,5.666666666666667
test,change,DC,363,4.033333333333333
test,change,DA,260,2.888888888888889
test,change,BL,195,2.1666666666666665
test,change,DP,126,1.4
test,risk,M,6711,74.56666666666666
test,risk,L,1313,14.588888888888889
test,risk,H,976,10.844444444444445
test,complexity,M,7194,79.93333333333334
test,complexity,L,1242,13.8
test,complexity,H,564,6.266666666666667
test,scope,M,6738,74.86666666666666
test,scope,L,951,10.566666666666666
test,scope,C,757,8.411111111111111
test,scope,F,554,6.155555555555556
test,test,M,6553,72.81111111111112
test,test,L,1005,11.166666666666666
test,test,N,756,8.4
test,test,H,686,7.622222222222222
test,security,M,3996,44.4
test,security,N,3424,38.044444444444444
test,security,L,1020,11.333333333333334
test,security,H,560,6.222222222222222
