split,feature,count,missing,mean,median,std,min,p25,p75,max
train,intent_confidence,41998,0,63.04323319197262,60.061126947402954,24.979351094348875,14.210616052150726,40.65154269337654,88.27138543128967,100.0
train,intent_margin,41998,0,47.0572575439828,40.8575564622879,34.36797897217722,0.0,14.695239439606667,81.7361667752266,100.0
train,change_confidence,41998,0,65.85349351289283,66.87189936637878,21.420635314799735,14.617805182933807,49.93335008621216,83.85124206542969,100.0
train,change_margin,41998,0,46.42077464436605,44.783276319503784,30.55613196296257,0.0,18.162822723388672,72.98527359962463,100.0
train,risk_confidence,41998,0,75.76079800825252,78.7653237581253,16.79907318699726,33.33333432674408,61.80368214845658,90.84524661302567,100.0
train,risk_margin,41998,0,55.95186250869829,60.73887348175049,29.58689999402221,0.0,30.149507522583008,82.92170912027359,100.0
train,complexity_confidence,41998,0,82.36951026795381,90.7282918691635,17.761603656362826,33.33333432674408,70.23400366306305,96.41065001487732,100.0
train,complexity_margin,41998,0,68.5975446836639,81.89414739608765,30.0489679019999,0.0,46.38358652591706,92.96377003192902,100.0
train,scope_confidence,41998,0,81.73768259199397,95.05095481872559,22.257194104305963,25.75662136077881,64.05335813760757,98.18980395793915,100.0
train,scope_margin,41998,0,71.41467786701197,91.62364304065704,33.80103300327511,0.0,42.62284189462662,96.99525237083435,100.0
train,test_confidence,41998,0,68.64776152654166,71.07002139091492,17.025336093656183,26.07639729976654,55.28156161308289,82.4781984090805,100.0
train,test_margin,41998,0,49.30475793159795,52.5499701499939,27.10629699425846,0.0,26.002643257379532,72.01906442642212,100.0
train,security_confidence,41998,0,71.11874526892315,71.9367653131485,19.726276661400522,25.607940554618835,54.465095698833466,88.67090791463852,100.0
train,security_margin,41998,0,52.39314601247698,52.79393196105957,31.50227596143642,0.0,23.86041358113289,80.88855892419815,100.0
validation,intent_confidence,8998,0,63.34201569463391,60.97785234451294,24.728504640439283,16.555628180503845,41.234711557626724,88.02460730075836,99.99957084655762
validation,intent_margin,8998,0,47.34743705909897,42.20605939626694,34.05992065291497,0.0,15.012474358081818,81.35257363319397,99.99921321868896
validation,change_confidence,8998,0,65.31500354289982,66.21502339839935,21.42811154493007,14.138908684253693,49.3460513651371,83.19310396909714,100.0
validation,change_margin,8998,0,45.75639592840105,43.42494159936905,30.44658784774035,0.0,17.93113574385643,72.065968811512,100.0
validation,risk_confidence,8998,0,75.92435671166861,78.87740731239319,16.91117065438044,33.33333432674408,61.97774410247803,91.0408169031143,100.0
validation,risk_margin,8998,0,56.316353978183855,60.69552004337311,29.79932280886804,0.0,30.22790253162384,83.62936228513718,100.0
validation,complexity_confidence,8998,0,82.44927295892073,90.90522527694702,17.899021530857304,33.33333432674408,70.51064521074295,96.53113186359404,100.0
validation,complexity_margin,8998,0,68.7420878937759,82.32205510139465,30.35953909561267,0.0,47.451720386743546,93.30962598323822,100.0
validation,scope_confidence,8998,0,81.52009865844957,94.84867453575134,22.29827348927994,26.536163687706,63.670311868190765,98.12854230403899,100.0
validation,scope_margin,8998,0,70.93610245867765,91.27448797225952,34.02898878160651,0.0,41.24338924884796,96.89490795135498,100.0
validation,test_confidence,8998,0,68.33252064166638,70.44109106063843,17.08663790854877,27.182865142822266,54.50247973203659,82.12841749191284,100.0
validation,test_margin,8998,0,48.81814180261216,51.757702231407166,27.235268382723646,0.0,24.746407940983776,71.72793447971344,100.0
validation,security_confidence,8998,0,71.29729298134066,72.1303939819336,20.055943379122855,26.89463496208191,54.05974984169006,89.50115889310837,100.0
validation,security_margin,8998,0,52.734560101966004,53.21452021598816,32.04995890597819,0.0,23.548518866300583,82.28785693645477,100.0
test,intent_confidence,9000,0,63.35063246505128,61.27252876758576,24.889858209970022,16.098009049892426,41.16082191467285,88.09912651777267,100.0
test,intent_margin,9000,0,47.51454708195395,42.178283631801605,34.161547441564835,0.0,14.894888177514076,81.64197206497192,99.99999403953552
test,change_confidence,9000,0,65.34908437033495,66.27992689609528,21.349102616808686,14.354045689105988,49.58271682262421,83.41580927371979,99.99991655349731
test,change_margin,9000,0,45.74479165201386,43.98985207080841,30.266325791944027,0.0,17.89645552635193,72.1473440527916,99.99987483024596
test,risk_confidence,9000,0,75.5781380775902,78.702712059021,16.892695227146834,33.76808166503906,61.34133040904999,90.58438539505003,99.99990463256836
test,risk_margin,9000,0,55.63645185563299,60.01755893230438,29.74960204719062,0.0,29.994694888591773,82.66613185405731,99.99985694885254
test,complexity_confidence,9000,0,82.36683783498076,90.41213989257812,17.61451359073544,33.33333432674408,70.4793632030487,96.37381732463837,100.0
test,complexity_margin,9000,0,68.58450020253659,81.7771852016449,29.82291517799255,0.0,46.356328576803215,92.93240904808044,100.0
test,scope_confidence,9000,0,81.27937017480532,94.8969155550003,22.364870097665328,26.02524161338806,62.7739280462265,98.11955839395524,100.0
test,scope_margin,9000,0,70.57143590615856,91.2914365530014,34.1211936128895,0.0,40.03828838467598,96.84532880783082,100.0
test,test_confidence,9000,0,68.24670176274246,70.27806043624878,17.141982351068496,26.32782757282257,54.67921495437622,82.32210278511047,100.0
test,test_margin,9000,0,48.68769743624661,51.14566087722778,27.200532967904426,0.0,25.368711352348328,71.70785218477249,100.0
test,security_confidence,9000,0,71.07022989624076,71.8960553407669,19.734318371474952,25.75662136077881,54.570864140987396,88.40926885604858,100.0
test,security_margin,9000,0,52.42610496249464,52.73384153842926,31.441442785062126,0.0,23.984841257333752,80.53571730852127,100.0
