split,feature,language,category,count,percentage_within_language
train,intent,C++,BF,4687,55.79761904761905
train,intent,C++,BL,471,5.607142857142857
train,intent,C++,DC,364,4.333333333333333
train,intent,C++,FT,699,8.321428571428571
train,intent,C++,OT,398,4.738095238095238
train,intent,C++,PF,232,2.761904761904762
train,intent,C++,RF,366,4.357142857142857
train,intent,C++,SC,793,9.44047619047619
train,intent,C++,TS,390,4.642857142857143
train,intent,Java,BF,8296,32.9193285980715
train,intent,Java,BL,1532,6.079123844291893
train,intent,Java,DC,1578,6.261656283480814
train,intent,Java,FT,2000,7.93619300821396
train,intent,Java,OT,1798,7.13463751438435
train,intent,Java,PF,783,3.1070195627157653
train,intent,Java,RF,1636,6.491805880719019
train,intent,Java,SC,4686,18.594500218245308
train,intent,Java,TS,2892,11.475735089877386
train,intent,Python,BF,4038,48.0886030725259
train,intent,Python,BL,483,5.752054305108968
train,intent,Python,DC,356,4.239609384303918
train,intent,Python,FT,668,7.955222103132071
train,intent,Python,OT,543,6.46659521257592
train,intent,Python,PF,156,1.8578063594140763
train,intent,Python,RF,446,5.311420745504347
train,intent,Python,SC,969,11.539835655591283
train,intent,Python,TS,738,8.788853161843516
train,change,C++,AP,318,3.7857142857142856
train,change,C++,BL,210,2.5
train,change,C++,CF,262,3.119047619047619
train,change,C++,DA,148,1.7619047619047619
train,change,C++,DC,200,2.380952380952381
train,change,C++,DP,106,1.2619047619047619
train,change,C++,LG,3550,42.26190476190476
train,change,C++,OT,2558,30.452380952380953
train,change,C++,TS,270,3.2142857142857144
train,change,C++,UI,778,9.261904761904763
train,change,Java,AP,2050,8.134597833419308
train,change,Java,BL,546,2.166580691242411
train,change,Java,CF,1793,7.114797031863815
train,change,Java,DA,694,2.753858973850244
train,change,Java,DC,1304,5.174397841355502
train,change,Java,DP,403,1.5991428911551129
train,change,Java,LG,6167,24.471251140827746
train,change,Java,OT,7631,30.280544422840364
train,change,Java,TS,2463,9.77342168961549
train,change,Java,UI,2150,8.531407483830007
train,change,Python,AP,208,2.4770751458854354
train,change,Python,BL,125,1.488626890556151
train,change,Python,CF,202,2.40562105513874
train,change,Python,DA,183,2.179349767774205
train,change,Python,DC,312,3.7156127188281527
train,change,Python,DP,57,0.6788138620936048
train,change,Python,LG,3616,43.062998690008335
train,change,Python,OT,2771,32.999880909848756
train,change,Python,TS,724,8.622126950101226
train,change,Python,UI,199,2.3698940097653924
train,risk,C++,H,908,10.80952380952381
train,risk,C++,L,971,11.55952380952381
train,risk,C++,M,6521,77.63095238095238
train,risk,Java,H,2787,11.059084956946153
train,risk,Java,L,4132,16.39617475497004
train,risk,Java,M,18282,72.5447402880838
train,risk,Python,H,916,10.908657853995475
train,risk,Python,L,706,8.407764677861142
train,risk,Python,M,6775,80.68357746814338
train,complexity,C++,H,361,4.2976190476190474
train,complexity,C++,L,950,11.30952380952381
train,complexity,C++,M,7089,84.39285714285714
train,complexity,Java,H,2074,8.229832149517875
train,complexity,Java,L,3912,15.523193524066505
train,complexity,Java,M,19215,76.24697432641563
train,complexity,Python,H,283,3.370251280219126
train,complexity,Python,L,585,6.966773847802787
train,complexity,Python,M,7529,89.6629748719781
train,scope,C++,C,599,7.130952380952381
train,scope,C++,F,355,4.226190476190476
train,scope,C++,L,641,7.630952380952381
train,scope,C++,M,6805,81.01190476190476
train,scope,Java,C,2554,10.134518471489226
train,scope,Java,F,2301,9.13059005595016
train,scope,Java,L,2759,10.947978254831158
train,scope,Java,M,17587,69.78691321772945
train,scope,Python,C,275,3.274979159223532
train,scope,Python,F,230,2.7390734786233177
train,scope,Python,L,574,6.835774681433845
train,scope,Python,M,7318,87.15017268071931
train,test,C++,H,404,4.809523809523809
train,test,C++,L,824,9.80952380952381
train,test,C++,M,6708,79.85714285714286
train,test,C++,N,464,5.523809523809524
train,test,Java,H,2230,8.848855204158566
train,test,Java,L,3357,13.32089996428713
train,test,Java,M,17214,68.30681322169755
train,test,Java,N,2400,9.523431609856752
train,test,Python,H,462,5.501964987495534
train,test,Python,L,475,5.656782184113374
train,test,Python,M,6911,82.30320352506848
train,test,Python,N,549,6.538049303322615
train,security,C++,H,280,3.3333333333333335
train,security,C++,L,793,9.44047619047619
train,security,C++,M,4186,49.833333333333336
train,security,C++,N,3141,37.392857142857146
train,security,Java,H,1852,7.348914725606127
train,security,Java,L,3269,12.971707471925717
train,security,Java,M,10931,43.375262886393394
train,security,Java,N,9149,36.30411491607476
train,security,Python,H,298,3.548886507085864
train,security,Python,L,504,6.002143622722401
train,security,Python,M,3434,40.89555793735858
train,security,Python,N,4161,49.55341193283316
validation,intent,C++,BF,954,53.0
validation,intent,C++,BL,113,6.277777777777778
validation,intent,C++,DC,87,4.833333333333333
validation,intent,C++,FT,164,9.11111111111111
validation,intent,C++,OT,85,4.722222222222222
validation,intent,C++,PF,63,3.5
validation,intent,C++,RF,103,5.722222222222222
validation,intent,C++,SC,154,8.555555555555555
validation,intent,C++,TS,77,4.277777777777778
validation,intent,Java,BF,1926,35.67988143756947
validation,intent,Java,BL,304,5.631715450166729
validation,intent,Java,DC,323,5.983697665802149
validation,intent,Java,FT,393,7.280474249722119
validation,intent,Java,OT,343,6.354205261207855
validation,intent,Java,PF,161,2.982586143015932
validation,intent,Java,RF,376,6.96554279362727
validation,intent,Java,SC,995,18.432752871433863
validation,intent,Java,TS,577,10.689144127454613
validation,intent,Python,BF,939,52.166666666666664
validation,intent,Python,BL,92,5.111111111111111
validation,intent,Python,DC,85,4.722222222222222
validation,intent,Python,FT,130,7.222222222222222
validation,intent,Python,OT,72,4.0
validation,intent,Python,PF,22,1.2222222222222223
validation,intent,Python,RF,117,6.5
validation,intent,Python,SC,226,12.555555555555555
validation,intent,Python,TS,117,6.5
validation,change,C++,AP,61,3.388888888888889
validation,change,C++,BL,38,2.111111111111111
validation,change,C++,CF,66,3.6666666666666665
validation,change,C++,DA,53,2.9444444444444446
validation,change,C++,DC,47,2.611111111111111
validation,change,C++,DP,21,1.1666666666666667
validation,change,C++,LG,775,43.05555555555556
validation,change,C++,OT,528,29.333333333333332
validation,change,C++,TS,57,3.1666666666666665
validation,change,C++,UI,154,8.555555555555555
validation,change,Java,AP,421,7.799184883290107
validation,change,Java,BL,124,2.297147091515376
validation,change,Java,CF,375,6.947017413856984
validation,change,Java,DA,182,3.371619118191923
validation,change,Java,DC,286,5.298258614301593
validation,change,Java,DP,101,1.8710633567988144
validation,change,Java,LG,1324,24.527602815857726
validation,change,Java,OT,1630,30.196369025565023
validation,change,Java,TS,500,9.262689885142645
validation,change,Java,UI,455,8.429047795479807
validation,change,Python,AP,54,3.0
validation,change,Python,BL,32,1.7777777777777777
validation,change,Python,CF,50,2.7777777777777777
validation,change,Python,DA,32,1.7777777777777777
validation,change,Python,DC,78,4.333333333333333
validation,change,Python,DP,9,0.5
validation,change,Python,LG,836,46.44444444444444
validation,change,Python,OT,544,30.22222222222222
validation,change,Python,TS,128,7.111111111111111
validation,change,Python,UI,37,2.0555555555555554
validation,risk,C++,H,177,9.833333333333334
validation,risk,C++,L,220,12.222222222222221
validation,risk,C++,M,1403,77.94444444444444
validation,risk,Java,H,593,10.985550203779178
validation,risk,Java,L,868,16.080029640607634
validation,risk,Java,M,3937,72.9344201556132
validation,risk,Python,H,193,10.722222222222221
validation,risk,Python,L,141,7.833333333333333
validation,risk,Python,M,1466,81.44444444444444
validation,complexity,C++,H,76,4.222222222222222
validation,complexity,C++,L,196,10.88888888888889
validation,complexity,C++,M,1528,84.88888888888889
validation,complexity,Java,H,471,8.725453871804373
validation,complexity,Java,L,786,14.560948499444239
validation,complexity,Java,M,4141,76.71359762875139
validation,complexity,Python,H,51,2.8333333333333335
validation,complexity,Python,L,143,7.944444444444445
validation,complexity,Python,M,1606,89.22222222222223
validation,scope,C++,C,136,7.555555555555555
validation,scope,C++,F,75,4.166666666666667
validation,scope,C++,L,130,7.222222222222222
validation,scope,C++,M,1459,81.05555555555556
validation,scope,Java,C,576,10.670618747684328
validation,scope,Java,F,483,8.947758429047795
validation,scope,Java,L,588,10.89292330492775
validation,scope,Java,M,3751,69.48869951834013
validation,scope,Python,C,44,2.4444444444444446
validation,scope,Python,F,64,3.5555555555555554
validation,scope,Python,L,120,6.666666666666667
validation,scope,Python,M,1572,87.33333333333333
validation,test,C++,H,82,4.555555555555555
validation,test,C++,L,155,8.61111111111111
validation,test,C++,M,1444,80.22222222222223
validation,test,C++,N,119,6.611111111111111
validation,test,Java,H,510,9.447943682845498
validation,test,Java,L,662,12.263801407928863
validation,test,Java,M,3650,67.61763616154131
validation,test,Java,N,576,10.670618747684328
validation,test,Python,H,113,6.277777777777778
validation,test,Python,L,97,5.388888888888889
validation,test,Python,M,1472,81.77777777777777
validation,test,Python,N,118,6.555555555555555
validation,security,C++,H,52,2.888888888888889
validation,security,C++,L,170,9.444444444444445
validation,security,C++,M,912,50.666666666666664
validation,security,C++,N,666,37.0
validation,security,Java,H,424,7.854761022600964
validation,security,Java,L,669,12.39347906632086
validation,security,Java,M,2322,43.01593182660245
validation,security,Java,N,1983,36.735828084475735
validation,security,Python,H,74,4.111111111111111
validation,security,Python,L,97,5.388888888888889
validation,security,Python,M,733,40.72222222222222
validation,security,Python,N,896,49.77777777777778
test,intent,C++,BF,955,53.05555555555556
test,intent,C++,BL,109,6.055555555555555
test,intent,C++,DC,68,3.7777777777777777
test,intent,C++,FT,127,7.055555555555555
test,intent,C++,OT,79,4.388888888888889
test,intent,C++,PF,73,4.055555555555555
test,intent,C++,RF,80,4.444444444444445
test,intent,C++,SC,217,12.055555555555555
test,intent,C++,TS,92,5.111111111111111
test,intent,Java,BF,1892,35.030549898167
