,intent_confidence,intent_margin,change_confidence,change_margin,risk_confidence,risk_margin,complexity_confidence,complexity_margin,scope_confidence,scope_margin,test_confidence,test_margin,security_confidence,security_margin
intent_confidence,1.0,0.9761268768934208,0.25886630919441667,0.2102444861357308,0.19416640864188753,0.1738086424609142,0.29551496049334175,0.2892755251020948,0.1651975650975614,0.1605873739918282,0.20672650450883628,0.19333823214726478,0.2303067189811734,0.20686054845734184
intent_margin,0.9761268768934208,1.0,0.24639302620599787,0.20140997887223216,0.18868153286052844,0.1696365150150606,0.2821486816138916,0.276345909688359,0.1580195356589154,0.15401185526895045,0.20154375679766334,0.1898932779799911,0.21880022871178526,0.19670269008452512
change_confidence,0.25886630919441667,0.24639302620599787,1.0,0.9659633774004587,0.25419053366803623,0.21994054769693763,0.3390651052370244,0.32601631846070045,0.3134503005844227,0.30909435424588555,0.23441664027798104,0.2083344280490823,0.2871591420302687,0.24922351713793592
change_margin,0.2102444861357308,0.20140997887223216,0.9659633774004587,1.0,0.19210970080854967,0.16913870714243695,0.251644236740318,0.24275277458876982,0.20831827707837466,0.20568424764515056,0.17227582125523602,0.15445435336648275,0.22479195849151629,0.19894682665232868
risk_confidence,0.19416640864188753,0.18868153286052844,0.25419053366803623,0.19210970080854967,1.0,0.9915557269936999,0.5922161374147425,0.5843192512986262,0.29687363504561387,0.29763084894089964,0.42300670425956405,0.4235463825451503,0.510426926935976,0.46198485225079317
risk_margin,0.1738086424609142,0.1696365150150606,0.21994054769693763,0.16913870714243695,0.9915557269936999,1.0,0.558477390573614,0.5538105646302418,0.23081422299348497,0.2323029715304581,0.39300967100054446,0.40163110935272534,0.47830654748480705,0.4404084189002577
complexity_confidence,0.29551496049334175,0.2821486816138916,0.3390651052370244,0.251644236740318,0.5922161374147425,0.558477390573614,1.0,0.9975211343063206,0.34620502147342497,0.343528895232319,0.4873005101354339,0.4861957600875416,0.466012267242295,0.415164980644987
complexity_margin,0.2892755251020948,0.276345909688359,0.32601631846070045,0.24275277458876982,0.5843192512986262,0.5538105646302418,0.9975211343063206,1.0,0.31803816341617835,0.315560909760652,0.4770653203149872,0.4795170451141173,0.4585725897209011,0.41044913084594276
scope_confidence,0.1651975650975614,0.1580195356589154,0.3134503005844227,0.20831827707837466,0.29687363504561387,0.23081422299348497,0.34620502147342497,0.31803816341617835,1.0,0.9967152261322123,0.37551076458738,0.2999027047197374,0.26829734379924375,0.20487253133373856
scope_margin,0.1605873739918282,0.15401185526895045,0.30909435424588555,0.20568424764515056,0.29763084894089964,0.2323029715304581,0.343528895232319,0.315560909760652,0.9967152261322123,1.0,0.37604422792750486,0.3010867213173238,0.26277306568307385,0.20032702923959617
test_confidence,0.20672650450883628,0.20154375679766334,0.23441664027798104,0.17227582125523602,0.42300670425956405,0.39300967100054446,0.4873005101354339,0.4770653203149872,0.37551076458738,0.37604422792750486,1.0,0.9834689833358935,0.29112898370131246,0.2532655916644273
test_margin,0.19333823214726478,0.1898932779799911,0.2083344280490823,0.15445435336648275,0.4235463825451503,0.40163110935272534,0.4861957600875416,0.4795170451141173,0.2999027047197374,0.3010867213173238,0.9834689833358935,1.0,0.2715387415748082,0.23929537173605933
security_confidence,0.2303067189811734,0.21880022871178526,0.2871591420302687,0.22479195849151629,0.510426926935976,0.47830654748480705,0.466012267242295,0.4585725897209011,0.26829734379924375,0.26277306568307385,0.29112898370131246,0.2715387415748082,1.0,0.9852914663973413
security_margin,0.20686054845734184,0.19670269008452512,0.24922351713793592,0.19894682665232868,0.46198485225079317,0.4404084189002577,0.415164980644987,0.41044913084594276,0.20487253133373856,0.20032702923959617,0.2532655916644273,0.23929537173605933,0.9852914663973413,1.0
