feature,category,count,buggy_count,buggy_rate
intent,BF,17021,3377,0.19840197403207802
intent,BL,2486,777,0.31255028157683024
intent,DC,2298,773,0.3363794604003481
intent,FT,3367,1115,0.33115533115533113
intent,OT,2739,880,0.321285140562249
intent,PF,1171,493,0.4210076857386849
intent,RF,2448,573,0.2340686274509804
intent,SC,6448,2454,0.3805831265508685
intent,TS,4020,1470,0.3656716417910448
change,AP,2576,1069,0.41498447204968947
change,BL,881,393,0.4460839954597049
change,CF,2257,971,0.4302171023482499
change,DA,1025,303,0.29560975609756096
change,DC,1816,497,0.2736784140969163
change,DP,566,266,0.46996466431095407
change,LG,13333,3225,0.24188104702617566
change,OT,12960,2489,0.19205246913580246
change,TS,3457,1196,0.34596470928550765
change,UI,3127,1503,0.48065238247521586
risk,H,4611,1669,0.3619605291693776
risk,L,5809,2546,0.4382854191771389
risk,M,31578,7697,0.2437456457027044
complexity,H,2718,1237,0.4551140544518028
complexity,L,5447,2603,0.4778777308610244
complexity,M,33833,8072,0.23858363136582628
scope,C,3428,1622,0.47316219369894985
scope,F,2886,1294,0.4483714483714484
scope,L,3974,1715,0.4315551082033216
scope,M,31710,7281,0.2296121097445601
test,H,3096,1125,0.3633720930232558
test,L,4656,2237,0.4804553264604811
test,M,30833,7398,0.23993772905653035
test,N,3413,1152,0.33753296220334017
security,H,2430,1009,0.4152263374485597
security,L,4566,2144,0.4695575996495839
security,M,18551,5418,0.2920597272384238
security,N,16451,3341,0.20308795817883413
