feature,bin,count,buggy_count,buggy_rate
intent_confidence,"(14.21, 37.437]",8400,2849,0.33916666666666667
intent_confidence,"(37.437, 51.304]",8399,2637,0.31396594832718183
intent_confidence,"(51.304, 70.699]",8400,2478,0.295
intent_confidence,"(70.699, 92.848]",8399,2115,0.2518156923443267
intent_confidence,"(92.848, 100.0]",8400,1833,0.21821428571428572
intent_margin,"(-0.001, 11.087]",8400,2775,0.33035714285714285
intent_margin,"(11.087, 28.65]",8399,2658,0.3164662459816645
intent_margin,"(28.65, 55.996]",8400,2523,0.3003571428571429
intent_margin,"(55.996, 88.827]",8399,2132,0.253839742826527
intent_margin,"(88.827, 100.0]",8400,1824,0.21714285714285714
change_confidence,"(14.617, 46.28]",8400,3558,0.4235714285714286
change_confidence,"(46.28, 59.899]",8399,2403,0.28610548874866054
change_confidence,"(59.899, 73.767]",8400,2038,0.24261904761904762
change_confidence,"(73.767, 87.297]",8399,1952,0.23240862007381832
change_confidence,"(87.297, 100.0]",8400,1961,0.23345238095238094
change_margin,"(-0.001, 13.833]",8400,3059,0.3641666666666667
change_margin,"(13.833, 33.434]",8399,2642,0.3145612572925348
change_margin,"(33.434, 55.996]",8400,2214,0.26357142857142857
change_margin,"(55.996, 78.642]",8399,2022,0.24074294558876055
change_margin,"(78.642, 100.0]",8400,1975,0.23511904761904762
risk_confidence,"(33.332, 58.211]",8400,3355,0.39940476190476193
risk_confidence,"(58.211, 72.66]",8402,2838,0.33777671982861224
risk_confidence,"(72.66, 84.307]",8397,2271,0.2704537334762415
risk_confidence,"(84.307, 92.544]",8401,1783,0.2122366384954172
risk_confidence,"(92.544, 100.0]",8398,1665,0.19826149083115027
risk_margin,"(-0.001, 24.088]",8401,3128,0.3723366265920724
risk_margin,"(24.088, 48.598]",8398,2917,0.34734460585853777
risk_margin,"(48.598, 70.43]",8403,2392,0.28466024039033677
risk_margin,"(70.43, 86.307]",8396,1792,0.2134349690328728
risk_margin,"(86.307, 100.0]",8400,1683,0.20035714285714284
complexity_confidence,"(33.332, 63.661]",8401,3813,0.45387453874538747
complexity_confidence,"(63.661, 85.838]",8398,3121,0.3716361038342462
complexity_confidence,"(85.838, 93.591]",8404,2039,0.2426225606853879
complexity_confidence,"(93.591, 97.076]",8397,1620,0.19292604501607716
complexity_confidence,"(97.076, 100.0]",8398,1319,0.15706120504882115
complexity_margin,"(-0.001, 36.099]",8400,3743,0.4455952380952381
complexity_margin,"(36.099, 72.978]",8399,3139,0.37373496844862486
complexity_margin,"(72.978, 87.778]",8404,2071,0.24643027129938125
complexity_margin,"(87.778, 94.408]",8395,1625,0.19356759976176297
complexity_margin,"(94.408, 100.0]",8400,1334,0.15880952380952382
scope_confidence,"(25.756, 55.098]",8400,3798,0.4521428571428571
scope_confidence,"(55.098, 90.662]",8399,2620,0.31194189784498155
scope_confidence,"(90.662, 96.801]",8401,1579,0.1879538150220212
scope_confidence,"(96.801, 98.509]",8398,1788,0.21290783519885687
scope_confidence,"(98.509, 100.0]",8400,2127,0.2532142857142857
scope_margin,"(-0.001, 29.614]",8400,3726,0.44357142857142856
scope_margin,"(29.614, 84.024]",8399,2707,0.32230027384212406
scope_margin,"(84.024, 94.652]",8400,1580,0.1880952380952381
scope_margin,"(94.652, 97.536]",8399,1790,0.21312060959638052
scope_margin,"(97.536, 100.0]",8400,2109,0.25107142857142856
test_confidence,"(26.075, 51.727]",8400,3458,0.4116666666666667
test_confidence,"(51.727, 65.461]",8399,2498,0.2974163590903679
test_confidence,"(65.461, 75.83]",8400,2115,0.2517857142857143
test_confidence,"(75.83, 84.672]",8399,1878,0.22359804738659364
test_confidence,"(84.672, 100.0]",8400,1963,0.2336904761904762
test_margin,"(-0.001, 20.235]",8400,3239,0.3855952380952381
test_margin,"(20.235, 42.703]",8399,2675,0.31849029646386473
test_margin,"(42.703, 60.956]",8400,2178,0.2592857142857143
test_margin,"(60.956, 75.686]",8399,1878,0.22359804738659364
test_margin,"(75.686, 100.0]",8400,1942,0.2311904761904762
security_confidence,"(25.607, 51.214]",8400,3354,0.3992857142857143
security_confidence,"(51.214, 64.932]",8399,2597,0.30920347660435765
security_confidence,"(64.932, 78.727]",8400,2349,0.27964285714285714
security_confidence,"(78.727, 92.072]",8399,2155,0.25657816406715084
security_confidence,"(92.072, 100.0]",8400,1457,0.17345238095238094
security_margin,"(-0.001, 18.574]",8400,3062,0.3645238095238095
security_margin,"(18.574, 41.007]",8399,2756,0.3281343017025836
security_margin,"(41.007, 64.346]",8400,2427,0.2889285714285714
security_margin,"(64.346, 86.356]",8399,2184,0.26003095606619836
security_margin,"(86.356, 100.0]",8400,1483,0.17654761904761904
