feature,type,category_or_value,roc_auc,symmetric_auc
complexity_confidence,numerical,,0.34359506162923953,0.6564049383707604
complexity_margin,numerical,,0.3473278674671896,0.6526721325328104
risk_confidence,numerical,,0.3929090089493619,0.6070909910506381
security_confidence,numerical,,0.39441500070516455,0.6055849992948354
scope_confidence,numerical,,0.39789526209107207,0.6021047379089279
scope_margin,numerical,,0.39871817590558734,0.6012818240944127
scope,categorical_indicator,M,0.3996300123884845,0.6003699876115155
risk_margin,numerical,,0.40462069652623744,0.5953793034737626
security_margin,numerical,,0.40916809969022316,0.5908319003097768
change_confidence,numerical,,0.40998285885364577,0.5900171411463542
complexity,categorical_indicator,M,0.4106952837728175,0.5893047162271825
test_confidence,numerical,,0.41281348543622004,0.58718651456378
intent,categorical_indicator,BF,0.41499783394609063,0.5850021660539093
test_margin,numerical,,0.41841652597231116,0.5815834740276888
test,categorical_indicator,M,0.4210603377994946,0.5789396622005054
security,categorical_indicator,N,0.42236131227932355,0.5776386877206765
risk,categorical_indicator,M,0.42619862181959955,0.5738013781804004
change,categorical_indicator,OT,0.43045666392116055,0.5695433360788394
change_margin,numerical,,0.432454483681367,0.5675455163186329
intent_confidence,numerical,,0.43762045724129,0.5623795427587099
complexity,categorical_indicator,L,0.5619950617721028,0.5619950617721028
intent_margin,numerical,,0.4412192352149939,0.558780764785006
test,categorical_indicator,L,0.5536954880897282,0.5536954880897282
risk,categorical_indicator,L,0.5526391447717796,0.5526391447717796
security,categorical_indicator,L,0.5497420044183169,0.5497420044183169
scope,categorical_indicator,C,0.5380686457943017,0.5380686457943017
intent,categorical_indicator,SC,0.5366289850447521,0.5366289850447521
change,categorical_indicator,UI,0.5360983453656268,0.5360983453656268
scope,categorical_indicator,L,0.5344438538557947,0.5344438538557947
change,categorical_indicator,LG,0.46738258708737657,0.5326174129126234
scope,categorical_indicator,F,0.5278574879614191,0.5278574879614191
complexity,categorical_indicator,H,0.5273096544550797,0.5273096544550797
risk,categorical_indicator,H,0.5211622334086208,0.5211622334086208
change,categorical_indicator,AP,0.5198258472343464,0.5198258472343464
change,categorical_indicator,CF,0.5193851528684706,0.5193851528684706
intent,categorical_indicator,TS,0.5193239699653025,0.5193239699653025
security,categorical_indicator,H,0.518736614652949,0.518736614652949
test,categorical_indicator,H,0.5144651902736669,0.5144651902736669
change,categorical_indicator,TS,0.5126258609358344,0.5126258609358344
test,categorical_indicator,N,0.5107789838371104,0.5107789838371104
intent,categorical_indicator,PF,0.5094257191394965,0.5094257191394965
intent,categorical_indicator,FT,0.5093754993241447,0.5093754993241447
security,categorical_indicator,M,0.5091600686494105,0.5091600686494105
change,categorical_indicator,BL,0.5083858860253171,0.5083858860253171
intent,categorical_indicator,RF,0.49289070402477747,0.5071092959752226
intent,categorical_indicator,DC,0.5071022588391897,0.5071022588391897
change,categorical_indicator,DP,0.5061795039132727,0.5061795039132727
intent,categorical_indicator,OT,0.5060427736436944,0.5060427736436944
intent,categorical_indicator,BL,0.5042122560725517,0.5042122560725517
change,categorical_indicator,DC,0.4989408217374799,0.5010591782625201
change,categorical_indicator,DA,0.5007193309111151,0.5007193309111151
